uni_name,qs_id
ERASMUS UNIVERSITY ROTTERDAM,QS00129
EWHA WOMANS UNIVERSITY,QS00130
FAR EASTERN FEDERAL UNIVERSITY,QS00131
FATIMA JINNAH WOMEN UNIVERSITY,QS00132
FLINDERS UNIVERSITY,QS00133
FLORIDA STATE UNIVERSITY,QS00134
FORDHAM UNIVERSITY,QS00135
VRIJE UNIVERSITEIT BRUSSEL (VUB),QS00136
FREIE UNIVERSITAT BERLIN,QS00137
FU JEN CATHOLIC UNIVERSITY,QS00138
FUDAN UNIVERSITY,QS00139
GEORGE MASON UNIVERSITY,QS00140
GEORGE WASHINGTON UNIVERSITY,QS00141
GEORGETOWN UNIVERSITY,QS00142
GEORGIA INSTITUTE OF TECHNOLOGY,QS00143
GEORGIA STATE UNIVERSITY,QS00144
UNIVERSITY COLLEGE GHENT,QS00145
GIFU UNIVERSITY,QS00146
GLASGOW CALEDONIAN UNIVERSITY,QS00147
GOLDSMITHS UNIVERSITY OF LONDON,QS00148
GRIFFITH UNIVERSITY,QS00149
GUNMA UNIVERSITY,QS00150
GWANGJU UNIVERSITY,QS00151
HACETTEPE UNIVERSITY,QS00152
HALLYM UNIVERSITY,QS00153
HANKUK (KOREA) UNIVERSITY OF FOREIGN STUDIES,QS00154
HANYANG UNIVERSITY,QS00155
HARBIN ENGINEERING UNIVERSITY,QS00156
HARBIN INSTITUTE OF TECHNOLOGY,QS00157
HARVARD UNIVERSITY,QS00158
HEBREW UNIVERSITY OF JERUSALEM,QS00159
HERIOT-WATT UNIVERSITY,QS00160
HIROSHIMA UNIVERSITY,QS00161
HOKKAIDO UNIVERSITY,QS00162
HONG KONG BAPTIST UNIVERSITY,QS00163
THE HONG KONG POLYTECHNIC UNIVERSITY,QS00164
THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,QS00165
HOSEO UNIVERSITY,QS00166
HOWARD UNIVERSITY,QS00167
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,QS00168
HUMBOLDT-UNIVERSITAT ZU BERLIN,QS00169
ILLINOIS INSTITUTE OF TECHNOLOGY,QS00170
IMPERIAL COLLEGE LONDON,QS00171
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),QS00172
INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),QS00173
INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI (IITG),QS00174
INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK),QS00175
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP),QS00176
INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),QS00177
INDIAN INSTITUTE OF TECHNOLOGY ROORKEE (IITR),QS00178
INDIANA UNIVERSITY BLOOMINGTON,QS00179
INDIRA GANDHI INSTITUTE OF DEVELOPMENT AND RESEARCH,QS00180
INDONESIA INSTITUTE OF THE ARTS SURAKARTA,QS00181
INHA UNIVERSITY,QS00182
INSTITUT DE HAUTES ETUDES EN ADMINISTRATION PUBLIQUE LAUSANNE,QS00183
INSTITUTO POLITECNICO NACIONAL (IPN),QS00184
