uni_name,urap_id
BERGISCHE UNIVERSITAT WUPPERTAL,URAP00124
BHARATHIAR UNIVERSITY,URAP00125
BHARATHIDASAN UNIVERSITY,URAP00126
BI NORWEGIAN SCHOOL OF MANAGEMENT,URAP00127
BINGHAMTON UNIVERSITY,URAP00128
BIRKBECK UNIVERSITY OF LONDON,URAP00129
BISHOPS UNIVERSITE,URAP00130
BLEKINGE INSTITUTE OF TECHNOLOGY,URAP00131
BLOOMSBURG UNIVERSITY OF PENNSYLVANIA,URAP00132
BOGAZICI UNIVERSITY,URAP00133
BOGOR AGRICULTURAL UNIVERSITY,URAP00134
BOHAI UNIVERSITY,URAP00135
BOISE STATE UNIVERSITY,URAP00136
BOND UNIVERSITY,URAP00137
BOSTON COLLEGE,URAP00138
BOSTON UNIVERSITY,URAP00139
BOURNEMOUTH UNIVERSITY,URAP00140
BOWDOIN COLLEGE,URAP00141
BOWLING GREEN STATE UNIVERSITY,URAP00142
BOZOK UNIVERSITY,URAP00143
BRADLEY UNIVERSITY,URAP00144
BRANDEIS UNIVERSITY,URAP00145
BRANDENBURGISCHE TECHNISCHE UNIVERSITAT COTTBUS,URAP00146
BRIGHAM YOUNG UNIVERSITY,URAP00147
BROCK UNIVERSITY,URAP00148
BROOKLYN COLLEGE,URAP00149
BROWN UNIVERSITY,URAP00150
BRUNEL UNIVERSITY,URAP00151
BRYN MAWR COLLEGE,URAP00152
BU ALI SINA UNIVERSITY,URAP00153
BUCKNELL UNIVERSITY,URAP00154
BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS,URAP00155
BUFFALO STATE COLLEGE,URAP00156
BULENT ECEVIT UNIVERSITY,URAP00157
BURAPHA UNIVERSITY,URAP00158
BUTLER UNIVERSITY,URAP00159
CAIRO UNIVERSITY,URAP00160
CALIFORNIA INSTITUTE OF TECHNOLOGY CALTECH,URAP00161
CALIFORNIA POLYTECHNIC STATE UNIVERSITY,URAP00162
CALIFORNIA POLYTECHNIC STATE UNIVERSITY POMONA,URAP00163
CALIFORNIA STATE UNIVERSITY CHICO,URAP00164
CALIFORNIA STATE UNIVERSITY DOMINGUEZ HILLS,URAP00165
CALIFORNIA STATE UNIVERSITY FRESNO,URAP00166
CALIFORNIA STATE UNIVERSITY FULLERTON,URAP00167
CALIFORNIA STATE UNIVERSITY LONG BEACH,URAP00168
CALIFORNIA STATE UNIVERSITY LOS ANGELES,URAP00169
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,URAP00170
CALIFORNIA STATE UNIVERSITY SACRAMENTO,URAP00171
CALIFORNIA STATE UNIVERSITY SAN BERNARDINO,URAP00172
CALIFORNIA STATE UNIVERSITY SAN MARCOS,URAP00173
CALVIN COLLEGE,URAP00174
CANAKKALE 18 MART UNIVERSITY,URAP00175
CANKAYA UNIVERSITY,URAP00176
CANTHO UNIVERSITY,URAP00177
CAPITAL MEDICAL UNIVERSITY CHINA,URAP00178
CAPITAL NORMAL UNIVERSITY,URAP00179
CARDIFF UNIVERSITY,URAP00180
CARL VON OSSIETZKY UNIVERSITAT OLDENBURG,URAP00181
CARLETON COLLEGE,URAP00182
CARLETON UNIVERSITY,URAP00183
CARNEGIE INSTITUTION OF WASHINGTON,URAP00184
CARNEGIE MELLON UNIVERSITY,URAP00185
CAROL DAVILA UNIVERSITY OF MEDICINE AND PHARMACY,URAP00186
CASE WESTERN RESERVE UNIVERSITY,URAP00187
CATHOLIC UNIVERSITY OF AMERICA,URAP00188
CATHOLIC UNIVERSITY OF DAEGU,URAP00189
CATHOLIC UNIVERSITY OF LEUVEN,URAP00190
CAYETANO HEREDIA UNIVERSITY,URAP00191
CCS HARYANA AGRICULTURAL UNIVERSITY,URAP00192
CELAL BAYAR UNIVERSITY,URAP00193
CENTRAL CHINA NORMAL UNIVERSITY,URAP00194
CENTRAL EUROPEAN UNIVERSITY,URAP00195
CENTRAL MICHIGAN UNIVERSITY,URAP00196
CENTRAL QUEENSLAND UNIVERSITY,URAP00197
CENTRAL SOUTH UNIVERSITY CHINA,URAP00198
CENTRAL UNIVERSITY OF LAS VILLAS,URAP00199
CENTRAL WASHINGTON UNIVERSITY,URAP00200
CHALMERS UNIVERSITY OF TECHNOLOGY,URAP00201
CHANG GUNG UNIVERSITY,URAP00202
CHANG JUNG CHRISTIAN UNIVERSITY,URAP00203
CHANGAN UNIVERSITY,URAP00204
CHANGCHUN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00205
CHANGSHA UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00206
CHANGWON NATIONAL UNIVERSITY,URAP00207
CHAOYANG UNIVERSITY OF TECHNOLOGY,URAP00208
CHAPMAN UNIVERSITY,URAP00209
CHARITE UNIVERSITATSMEDIZIN BERLIN,URAP00210
CHARLES DARWIN UNIVERSITY,URAP00211
CHARLES STURT UNIVERSITY,URAP00212
CHARLES UNIVERSITY,URAP00213
CHEJU NATIONAL UNIVERSITY,URAP00214
CHENG SHIU UNIVERSITY TAIWAN,URAP00215
CHENGDU UNIVERSITY OF TECHNOLOGY,URAP00216
CHHATRAPATI SHAHUJI MAHARAJ MEDICAL UNIVERSITY,URAP00217
CHIA-NAN UNIVERSITY OF PHARMACY AND SCIENCE TAIWAN,URAP00218
CHIAENAN UNIVERSITY OF PHARMACY AND SCIENCE TAIWAN,URAP00219
CHIANG MAI UNIVERSITY,URAP00220
CHIBA UNIVERSITY,URAP00221
CHINA AGRICULTURAL UNIVERSITY,URAP00222
CHINA JILIANG UNIVERSITY,URAP00223
CHINA MEDICAL UNIVERSITY SHENYANG,URAP00224
CHINA MEDICAL UNIVERSITY TAIWAN,URAP00225
CHINA PHARMACEUTICAL UNIVERSITY,URAP00226
CHINA THREE GORGES UNIVERSITY,URAP00227
CHINA UNIVERSITY OF GEOSCIENCES,URAP00228
CHINA UNIVERSITY OF MINING & TECHNOLOGY,URAP00229
CHINA UNIVERSITY OF PETROLEUM,URAP00230
CHINA WEST NORMAL UNIVERSITY,URAP00231
CHINESE CULTURE UNIVERSITY,URAP00232
CHINESE UNIVERSITY OF HONG KONG,URAP00233
CHING YUN UNIVERSITY,URAP00234
CHONBUK NATIONAL UNIVERSITY,URAP00235
CHONGQING NORMAL UNIVERSITY,URAP00236
CHONGQING UNIVERSITY,URAP00237
CHONGQING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,URAP00238
CHONNAM NATIONAL UNIVERSITY (YOSU),URAP00239
CHOSUN UNIVERSITY,URAP00240
CHRISTIAN MEDICAL COLLEGE VELLORE,URAP00241
CHU DE TOULOUSE,URAP00242
CHU HOPITAUX DE ROUEN,URAP00243
CHUBU UNIVERSITY,URAP00244
CHULALONGKORN UNIVERSITY,URAP00245
CHUNG ANG UNIVERSITY,URAP00246
CHUNG HUA UNIVERSITY,URAP00247
CHUNG SHAN MEDICAL UNIVERSITY,URAP00248
CHUNG YUAN CHRISTIAN UNIVERSITY,URAP00249
CHUNGBUK NATIONAL UNIVERSITY,URAP00250
CHUNGNAM NATIONAL UNIVERSITY,URAP00251
CHUO UNIVERSITY,URAP00252
CITY UNIVERSITY LONDON,URAP00253
CITY UNIVERSITY OF HONG KONG,URAP00254
CITY UNIVERSITY OF NEW YORK,URAP00255
CITY UNIVERSITY OF NEW YORK CITY COLLEGE,URAP00256
CLAREMONT GRADUATE UNIVERSITY,URAP00257
CLAREMONT MCKENNA COLLEGE,URAP00258
CLARK ATLANTA UNIVERSITY,URAP00259
CLARK UNIVERSITY,URAP00260
CLARKSON UNIVERSITY,URAP00261
CLEMSON UNIVERSITY,URAP00262
CLEVELAND STATE UNIVERSITY,URAP00263
COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00264
COLBY COLLEGE,URAP00265
COLGATE UNIVERSITY,URAP00266
COLLEGE DE FRANCE,URAP00267
COLLEGE OF CHARLESTON,URAP00268
COLLEGE OF NEW JERSEY,URAP00269
COLLEGE OF SAINT BENEDICT SAINT JOHNS UNIVERSITY,URAP00270
COLLEGE OF STATEN ISLAND,URAP00271
COLLEGE OF THE HOLY CROSS,URAP00272
COLLEGE OF WILLIAM & MARY,URAP00273
COLORADO SCHOOL OF MINES,URAP00274
COLORADO STATE UNIVERSITY,URAP00275
COLUMBIA UNIVERSITY NEW YORK,URAP00276
COMENIUS UNIVERSITY IN BRATISLAVA,URAP00277
CONCORDIA UNIVERSITY MONTREAL,URAP00278
CONNECTICUT COLLEGE,URAP00279
CONSERVATOIRE NATIONAL DES ARTS ET METIERS,URAP00280
COPENHAGEN BUSINESS SCHOOL,URAP00281
CORK INSTITUTE OF TECHNOLOGY,URAP00282
CORNELL UNIVERSITY,URAP00283
CORVINUS UNIVERSITY OF BUDAPEST,URAP00284
COVENTRY UNIVERSITY,URAP00285
CRACOW UNIVERSITY OF TECHNOLOGY,URAP00286
CRANFIELD UNIVERSITY,URAP00287
CREIGHTON UNIVERSITY,URAP00288
CUKUROVA UNIVERSITY,URAP00289
CUMHURIYET UNIVERSITY,URAP00290
CURTIN UNIVERSITY OF TECHNOLOGY,URAP00291
CYPRUS UNIVERSITY OF TECHNOLOGY,URAP00292
CZECH TECHNICAL UNIVERSITY,URAP00293
CZECH UNIVERSITY OF AGRICULTURE,URAP00294
DA-YEH UNIVERSITY,URAP00295
DAEYEH UNIVERSITY,URAP00296
DALARNA UNIVERSITY,URAP00297
DALHOUSIE UNIVERSITY,URAP00298
